date,open,high,low,close,volume,amount,ma_short,ma_long,signal,position,buy_signal,sell_signal,name,ticker
2024-01-02,34.44,34.96,33.95,33.98,471353.41,1615427.568,33.298,32.55533333333334,1,1,,,立讯精密,002475.SZ
2024-01-03,33.69,33.93,32.41,32.67,770368.54,2534226.473,33.382,32.6,1,1,,,立讯精密,002475.SZ
2024-01-04,32.6,32.8,32.17,32.5,377647.67,1223579.711,33.36,32.647999999999996,1,1,,,立讯精密,002475.SZ
2024-01-05,32.8,33.33,32.2,32.5,386302.91,1265820.915,33.22,32.715333333333334,1,1,,,立讯精密,002475.SZ
2024-01-08,32.46,32.65,31.3,31.33,427173.14,1352044.405,32.596,32.68866666666667,-1,0,,31.33,立讯精密,002475.SZ
2024-01-09,31.55,32.3,31.27,31.46,370693.56,1174568.318,32.092,32.656,-1,0,,,立讯精密,002475.SZ
2024-01-10,31.46,31.52,30.97,31.22,385053.87,1200801.47,31.802,32.57066666666667,-1,0,,,立讯精密,002475.SZ
2024-01-11,31.0,31.46,30.63,31.3,529657.89,1647592.779,31.562,32.47933333333334,-1,0,,,立讯精密,002475.SZ
2024-01-12,31.01,31.09,30.32,30.6,561661.63,1719490.146,31.182,32.34733333333334,-1,0,,,立讯精密,002475.SZ
2024-01-15,30.35,30.9,30.03,30.68,372873.9,1137104.937,31.052,32.236000000000004,-1,0,,,立讯精密,002475.SZ
2024-01-16,30.4,30.6,29.93,30.29,477491.27,1442796.232,30.818,32.06933333333333,-1,0,,,立讯精密,002475.SZ
2024-01-17,30.2,30.2,28.4,28.4,980522.04,2836256.308,30.254,31.812666666666665,-1,0,,,立讯精密,002475.SZ
2024-01-18,28.2,28.8,27.75,28.72,649723.29,1828744.329,29.738,31.553333333333335,-1,0,,,立讯精密,002475.SZ
2024-01-19,28.53,29.58,28.51,29.34,553321.45,1620327.537,29.486,31.296,-1,0,,,立讯精密,002475.SZ
2024-01-22,29.73,29.94,28.58,28.93,542092.05,1589908.87,29.136000000000003,30.928,-1,0,,,立讯精密,002475.SZ
2024-01-23,28.92,29.48,28.56,29.27,552578.36,1603952.894,28.932,30.613999999999997,-1,0,,,立讯精密,002475.SZ
2024-01-24,29.29,29.49,28.24,29.05,495899.62,1422758.883,29.062,30.372666666666667,-1,0,,,立讯精密,002475.SZ
2024-01-25,29.0,29.29,28.61,29.13,518524.23,1504726.631,29.144,30.148000000000003,-1,0,,,立讯精密,002475.SZ
2024-01-26,29.0,29.06,27.6,27.82,917752.02,2572233.224,28.839999999999996,29.836000000000002,-1,0,,,立讯精密,002475.SZ
2024-01-29,27.82,27.92,27.08,27.16,583462.79,1596066.872,28.486,29.558,-1,0,,,立讯精密,002475.SZ
2024-01-30,27.02,27.3,26.45,26.52,415765.74,1112621.828,27.936,29.228666666666665,-1,0,,,立讯精密,002475.SZ
2024-01-31,26.45,26.45,25.2,25.49,848553.53,2171478.153,27.224,28.84666666666667,-1,0,,,立讯精密,002475.SZ
2024-02-01,25.47,26.24,25.06,25.85,543420.8,1397901.938,26.568,28.483333333333334,-1,0,,,立讯精密,002475.SZ
2024-02-02,25.82,26.45,24.88,25.63,617107.04,1590845.567,26.130000000000003,28.151999999999997,-1,0,,,立讯精密,002475.SZ
2024-02-05,25.64,27.66,25.3,26.98,950973.87,2507389.708,26.094,27.90533333333333,-1,0,,,立讯精密,002475.SZ
2024-02-06,26.54,28.26,26.5,28.22,805153.12,2236373.34,26.434000000000005,27.767333333333333,-1,0,,,立讯精密,002475.SZ
2024-02-07,28.24,28.65,27.96,28.23,633851.76,1791035.762,26.982,27.755999999999997,-1,0,,,立讯精密,002475.SZ
2024-02-08,28.5,29.4,28.4,28.94,613291.76,1781272.198,27.6,27.770666666666667,-1,0,,,立讯精密,002475.SZ
2024-02-19,28.8,28.98,27.01,27.49,1282919.54,3545870.084,27.972,27.647333333333332,1,1,27.49,,立讯精密,002475.SZ
